,,,,Daily Arrival Report-01-01-2023 to 31-12-2023 for Maharashtra,,,
State,District,Market,Commodity Group,Commodity,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,8.00,Metric Tonnes,08-03-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,5.00,Metric Tonnes,06-03-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,9.00,Metric Tonnes,04-03-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,7.00,Metric Tonnes,03-03-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,4.00,Metric Tonnes,02-03-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,1.00,Metric Tonnes,01-03-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,1.00,Metric Tonnes,24-02-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,1.00,Metric Tonnes,01-02-2023
Maharashtra,Nanded,Dharmabad APMC,Spices,Turmeric,2.00,Metric Tonnes,12-06-2023
Maharashtra,Nanded,Kandhar APMC,Spices,Turmeric,1.00,Metric Tonnes,13-01-2023
Maharashtra,Nanded,Kandhar APMC,Spices,Turmeric,1.00,Metric Tonnes,10-01-2023
Maharashtra,Nanded,Kandhar APMC,Spices,Turmeric,1.00,Metric Tonnes,09-01-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,1.00,Metric Tonnes,30-12-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,1.00,Metric Tonnes,20-12-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,1.00,Metric Tonnes,26-10-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,1.00,Metric Tonnes,25-10-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,1.00,Metric Tonnes,18-10-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,1.00,Metric Tonnes,09-10-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,1.00,Metric Tonnes,04-10-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,2.00,Metric Tonnes,29-09-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,1.00,Metric Tonnes,27-09-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,1.00,Metric Tonnes,16-09-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,1.00,Metric Tonnes,15-09-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,1.00,Metric Tonnes,11-09-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,1.00,Metric Tonnes,08-09-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,1.00,Metric Tonnes,04-09-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,1.00,Metric Tonnes,28-08-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,2.00,Metric Tonnes,26-08-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,2.00,Metric Tonnes,25-08-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,1.00,Metric Tonnes,18-08-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,1.00,Metric Tonnes,12-08-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,1.00,Metric Tonnes,11-08-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,2.00,Metric Tonnes,10-08-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,2.00,Metric Tonnes,09-08-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,2.00,Metric Tonnes,07-08-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,2.00,Metric Tonnes,05-08-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,1.00,Metric Tonnes,04-08-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,5.00,Metric Tonnes,03-08-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,3.00,Metric Tonnes,02-08-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,3.00,Metric Tonnes,31-07-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,2.00,Metric Tonnes,28-07-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,3.00,Metric Tonnes,24-07-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,2.00,Metric Tonnes,22-07-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,3.00,Metric Tonnes,21-07-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,1.00,Metric Tonnes,15-07-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,1.00,Metric Tonnes,14-07-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,2.00,Metric Tonnes,13-07-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,2.00,Metric Tonnes,10-07-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,2.00,Metric Tonnes,08-07-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,2.00,Metric Tonnes,07-07-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,5.00,Metric Tonnes,06-07-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,2.00,Metric Tonnes,05-07-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,3.00,Metric Tonnes,03-07-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,2.00,Metric Tonnes,01-07-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,2.00,Metric Tonnes,30-06-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,2.00,Metric Tonnes,28-06-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,5.00,Metric Tonnes,26-06-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,4.00,Metric Tonnes,24-06-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,3.00,Metric Tonnes,23-06-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,4.00,Metric Tonnes,22-06-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,5.00,Metric Tonnes,21-06-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,2.00,Metric Tonnes,16-06-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,4.00,Metric Tonnes,15-06-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,4.00,Metric Tonnes,14-06-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,5.00,Metric Tonnes,12-06-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,5.00,Metric Tonnes,10-06-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,5.00,Metric Tonnes,09-06-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,4.00,Metric Tonnes,08-06-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,7.00,Metric Tonnes,07-06-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,6.00,Metric Tonnes,05-06-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,9.00,Metric Tonnes,03-06-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,12.00,Metric Tonnes,02-06-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,7.00,Metric Tonnes,01-06-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,5.00,Metric Tonnes,31-05-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,3.00,Metric Tonnes,29-05-2023
