,,,,Daily Arrival Report-01-01-2025 to 31-12-2025 for Maharashtra,,,
State,District,Market,Commodity Group,Commodity,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,89.00,Metric Tonnes,11-06-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,102.00,Metric Tonnes,09-06-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,108.00,Metric Tonnes,06-06-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,100.00,Metric Tonnes,02-06-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,80.00,Metric Tonnes,30-05-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,125.00,Metric Tonnes,23-05-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,95.00,Metric Tonnes,21-05-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,95.00,Metric Tonnes,19-05-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,100.00,Metric Tonnes,16-05-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,60.00,Metric Tonnes,09-05-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,90.00,Metric Tonnes,07-05-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,100.00,Metric Tonnes,05-05-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,80.00,Metric Tonnes,02-05-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,100.00,Metric Tonnes,30-04-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,90.00,Metric Tonnes,28-04-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,80.00,Metric Tonnes,23-04-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,100.00,Metric Tonnes,21-04-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,105.00,Metric Tonnes,16-04-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,70.00,Metric Tonnes,11-04-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,80.00,Metric Tonnes,09-04-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,80.00,Metric Tonnes,07-04-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,50.00,Metric Tonnes,04-04-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,50.00,Metric Tonnes,24-03-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,40.00,Metric Tonnes,21-03-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,50.00,Metric Tonnes,19-03-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,50.00,Metric Tonnes,17-03-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,50.00,Metric Tonnes,12-03-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,50.00,Metric Tonnes,10-03-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,60.00,Metric Tonnes,07-03-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,95.00,Metric Tonnes,28-02-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,391.00,Metric Tonnes,24-02-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,102.50,Metric Tonnes,21-02-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,40.00,Metric Tonnes,17-02-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,66.00,Metric Tonnes,15-02-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,51.00,Metric Tonnes,14-02-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,30.00,Metric Tonnes,13-02-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,40.00,Metric Tonnes,08-02-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,35.00,Metric Tonnes,07-02-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,48.00,Metric Tonnes,06-02-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,90.00,Metric Tonnes,05-02-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,98.00,Metric Tonnes,04-02-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,204.00,Metric Tonnes,03-02-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,80.00,Metric Tonnes,01-02-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,90.00,Metric Tonnes,31-01-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,105.00,Metric Tonnes,30-01-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,93.00,Metric Tonnes,27-01-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,83.50,Metric Tonnes,25-01-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,82.50,Metric Tonnes,24-01-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,90.00,Metric Tonnes,23-01-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,80.50,Metric Tonnes,22-01-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,98.00,Metric Tonnes,21-01-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,101.50,Metric Tonnes,20-01-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,110.00,Metric Tonnes,18-01-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,104.00,Metric Tonnes,17-01-2025
